                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   1
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
                                        
00001 BAJIRAO ROAD                          3955.00                0.00                0.00                  0.00              0.00                0.00                0.00
00002 MUMBAI FORT                              0.00          1533075.00-               0.00            7554204.19-             0.00                0.00                0.00
00003 DECCAN GYMKHANA                          0.00                0.00                0.00             373003.83-             0.00                0.00                0.00
00004 JALGAON CITY                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00005 NAGPUR SITABULDI                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00006 MUMBAI GIRGAUM                        2250.00                0.00                0.00                  0.00              0.00           165429.00                0.00
00007 PUNE KHADKI                             90.00                0.00                0.00                  0.00              0.00                0.00                0.00
00008 RATNAGIRI CITY                      724671.00                0.00                0.00                  0.00              0.00                0.00                0.00
00009 KOPARGAON                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00010 DHULIA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00011 SOLAPUR PHALTAN GALLI                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00012 CHALISGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00013 HUBLI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00014 NASIK CITY                               0.00                0.00                0.00             451000.60              0.00                0.00                0.00
00015 KALYAN MAIN                              0.00                0.00                0.00              80000.00              0.00                0.00                0.00
00016 MUMBAI RANADE ROAD DADAR                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00017 SOLAPUR NAVIPETH                      1153.00                0.00                0.00                  0.00              0.00                0.00                0.00
00018 KOLHAPUR LAXMIPURI                       0.00                0.00                0.00              50000.00              0.00                0.00                0.00
00019 HYDERABAD SULTAN BAZAR                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00020 SANGLI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00021 AMRAVATI JAWAHAR ROAD                    0.00                0.00                0.00               2047.99-             0.00                0.00                0.00
00022 THANE STATION ROAD                     898.00                0.00                0.00                  0.00              0.00                0.00                0.00
00023 HARIHAR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00024 AHMEDNAGAR CITY                          0.00                0.00                0.00               2180.00              0.00                0.00                0.00
00025 BHIVANDI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00026 MUMBAI ZAVERI BAZAR                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00027 PANVEL                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00028 PUNE BHAVANI PETH                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00029 SHRIRAMPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
